id,timestamp,vehicle_id,traffic_density,network_quality,battery,speed,task_type,rl_decision,final_decision,adaptation_reason,explanation
1424,2026-06-24 16:21:14,vehicle_14,MEDIUM,MODERATE,64.87,13.47,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1425,2026-06-24 16:21:15,vehicle_29,MEDIUM,MODERATE,83.78,10.81,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1426,2026-06-24 16:21:16,vehicle_14,MEDIUM,MODERATE,65.47,10.12,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1427,2026-06-24 16:21:17,vehicle_29,MEDIUM,MODERATE,53.1,6.01,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1428,2026-06-24 16:21:18,vehicle_24,LOW,MODERATE,21.47,19.53,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1429,2026-06-24 16:21:19,vehicle_29,MEDIUM,MODERATE,64.55,15.54,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1430,2026-06-24 16:21:20,vehicle_16,HIGH,MODERATE,63.19,5.59,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1431,2026-06-24 16:21:22,vehicle_3,LOW,MODERATE,37.34,20.11,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1432,2026-06-24 16:21:23,vehicle_18,MEDIUM,MODERATE,58.14,21.5,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1433,2026-06-24 16:21:24,vehicle_23,MEDIUM,MODERATE,59.38,14.15,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1434,2026-06-24 16:21:25,vehicle_4,MEDIUM,MODERATE,50.92,10.25,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1435,2026-06-24 16:21:26,vehicle_3,MEDIUM,MODERATE,82.32,6.55,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1436,2026-06-24 16:21:27,vehicle_12,HIGH,MODERATE,68.05,6.95,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1437,2026-06-24 16:21:28,vehicle_26,HIGH,MODERATE,63.3,18.84,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1438,2026-06-24 16:21:29,vehicle_3,LOW,MODERATE,22.42,9.65,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation."
1439,2026-06-24 16:21:30,vehicle_9,LOW,MODERATE,66.36,21.79,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1440,2026-06-24 16:21:31,vehicle_22,HIGH,MODERATE,97.42,6.58,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1441,2026-06-24 16:21:32,vehicle_23,HIGH,MODERATE,52.12,15.1,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1442,2026-06-24 16:21:33,vehicle_26,LOW,MODERATE,48.69,5.05,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1443,2026-06-24 16:21:34,vehicle_20,MEDIUM,MODERATE,99.97,15.52,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1444,2026-06-24 16:21:35,vehicle_5,LOW,MODERATE,88.61,6.46,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1445,2026-06-24 16:21:36,vehicle_6,HIGH,MODERATE,57.75,6.56,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1446,2026-06-24 16:21:37,vehicle_13,HIGH,MODERATE,60.89,15.15,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1447,2026-06-24 16:21:38,vehicle_9,HIGH,MODERATE,75.71,8.14,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1448,2026-06-24 16:21:39,vehicle_24,HIGH,MODERATE,65.66,21.62,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1449,2026-06-24 16:21:40,vehicle_20,LOW,MODERATE,24.26,16.84,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1450,2026-06-24 16:21:41,vehicle_20,HIGH,MODERATE,98.43,12.77,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1451,2026-06-24 16:21:42,vehicle_8,MEDIUM,MODERATE,92.27,17.38,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1452,2026-06-24 16:21:43,vehicle_26,LOW,MODERATE,70.64,9.36,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1453,2026-06-24 16:21:45,vehicle_8,MEDIUM,MODERATE,54.73,11.81,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1454,2026-06-24 16:21:46,vehicle_29,HIGH,MODERATE,90.68,15.21,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1455,2026-06-24 16:21:47,vehicle_24,HIGH,MODERATE,97.14,17.25,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1456,2026-06-24 16:21:48,vehicle_27,HIGH,MODERATE,41.92,6.87,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1457,2026-06-24 16:21:49,vehicle_16,LOW,MODERATE,66.01,17.81,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1458,2026-06-24 16:21:50,vehicle_23,LOW,MODERATE,93.81,11.16,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1459,2026-06-24 16:21:51,vehicle_28,MEDIUM,MODERATE,97.98,12.08,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1460,2026-06-24 16:21:52,vehicle_22,LOW,MODERATE,52.73,17.93,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1461,2026-06-24 16:21:53,vehicle_6,HIGH,MODERATE,91.93,17.78,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1462,2026-06-24 16:21:54,vehicle_21,MEDIUM,MODERATE,63.12,10.77,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1463,2026-06-24 16:21:55,vehicle_19,MEDIUM,MODERATE,94.0,12.51,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1464,2026-06-24 16:21:56,vehicle_6,MEDIUM,MODERATE,85.05,16.67,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1465,2026-06-24 16:21:57,vehicle_25,HIGH,MODERATE,57.73,15.42,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1466,2026-06-24 16:21:58,vehicle_16,MEDIUM,MODERATE,78.85,18.08,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1467,2026-06-24 16:22:00,vehicle_9,HIGH,MODERATE,42.33,12.05,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1468,2026-06-24 16:22:02,vehicle_1,MEDIUM,MODERATE,90.87,11.0,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1469,2026-06-24 16:22:03,vehicle_3,HIGH,MODERATE,68.28,12.62,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1470,2026-06-24 16:22:07,vehicle_12,LOW,MODERATE,91.9,19.86,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1471,2026-06-24 16:22:08,vehicle_21,LOW,MODERATE,80.26,12.84,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1472,2026-06-24 16:22:09,vehicle_11,MEDIUM,MODERATE,24.93,20.25,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1473,2026-06-24 16:22:10,vehicle_18,HIGH,MODERATE,79.95,6.47,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1474,2026-06-24 16:22:11,vehicle_17,HIGH,MODERATE,60.17,9.41,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1475,2026-06-24 16:22:12,vehicle_10,HIGH,MODERATE,31.02,12.76,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,"High traffic density increases local congestion risk. | Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1476,2026-06-24 16:22:13,vehicle_13,LOW,MODERATE,78.28,10.8,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1477,2026-06-24 16:22:15,vehicle_14,MEDIUM,MODERATE,80.6,21.87,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1478,2026-06-24 16:22:16,vehicle_9,MEDIUM,MODERATE,79.83,13.8,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1479,2026-06-24 16:22:17,vehicle_8,HIGH,MODERATE,29.48,18.09,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,"High traffic density increases local congestion risk. | Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1480,2026-06-24 16:22:18,vehicle_8,HIGH,MODERATE,34.29,9.68,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"High traffic density increases local congestion risk. | Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1481,2026-06-24 16:22:19,vehicle_29,HIGH,MODERATE,58.74,20.02,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1482,2026-06-24 16:22:20,vehicle_15,LOW,MODERATE,30.5,14.03,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1483,2026-06-24 16:22:21,vehicle_17,HIGH,MODERATE,65.46,15.49,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1484,2026-06-24 16:22:22,vehicle_29,LOW,MODERATE,52.07,16.44,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1485,2026-06-24 16:22:23,vehicle_7,LOW,MODERATE,95.31,21.96,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1486,2026-06-24 16:22:24,vehicle_2,MEDIUM,MODERATE,33.52,16.13,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1487,2026-06-24 16:22:25,vehicle_13,HIGH,MODERATE,27.6,13.97,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"High traffic density increases local congestion risk. | Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1488,2026-06-24 16:22:26,vehicle_19,LOW,MODERATE,86.99,15.5,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1489,2026-06-24 16:22:27,vehicle_23,HIGH,MODERATE,33.26,6.31,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,"High traffic density increases local congestion risk. | Vehicle battery is low, so local execution may be risky. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1490,2026-06-24 16:22:28,vehicle_3,LOW,MODERATE,27.15,17.72,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1491,2026-06-24 16:22:29,vehicle_13,HIGH,MODERATE,78.44,11.13,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1492,2026-06-24 16:22:30,vehicle_21,MEDIUM,MODERATE,73.59,16.96,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1493,2026-06-24 16:22:31,vehicle_21,MEDIUM,MODERATE,33.09,10.92,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1494,2026-06-24 16:22:33,vehicle_25,HIGH,MODERATE,90.63,19.27,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1495,2026-06-24 16:22:34,vehicle_14,LOW,MODERATE,22.51,20.79,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1496,2026-06-24 16:22:35,vehicle_16,HIGH,MODERATE,66.24,12.02,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1497,2026-06-24 16:22:36,vehicle_15,LOW,MODERATE,99.2,21.65,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1498,2026-06-24 16:22:37,vehicle_30,HIGH,MODERATE,81.79,8.99,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1499,2026-06-24 16:22:38,vehicle_12,HIGH,MODERATE,95.72,19.34,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1500,2026-06-24 16:22:39,vehicle_17,HIGH,MODERATE,43.49,10.91,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1501,2026-06-24 16:22:40,vehicle_12,MEDIUM,MODERATE,23.6,17.15,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1502,2026-06-24 16:22:41,vehicle_14,LOW,MODERATE,26.54,11.59,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1503,2026-06-24 16:22:42,vehicle_16,MEDIUM,MODERATE,86.39,9.12,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1504,2026-06-24 16:22:43,vehicle_16,HIGH,MODERATE,21.25,6.03,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,"High traffic density increases local congestion risk. | Vehicle battery is low, so local execution may be risky. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation."
1505,2026-06-24 16:22:44,vehicle_14,LOW,MODERATE,91.39,5.23,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
